1;leche, huevos, azucar, escencia de vainilla;Vainilla
2;leche, huevos, azucar, chocolate amargo;Chocolate amargo
3;leche, huevos, azucar, avellanas tostadas;Avellana 
4;leche, huevos, azucar, bananas, dulce de leche;Banana split 
5;leche, huevos, azucar, dulce de leche;Dulce de Leche 
6;leche, huevos, azucar, queso mascarpone;Mascarpone 
7;leche, huevos, azucar, crema de leche, escencia de vainilla;Crema Americana 
8;leche, huevos, azucar, ralladura de limón;Limón 
9;leche, huevos, azucar, frutillas;Frutilla 
10;leche, huevos, azucar, crema de leche, leche descremada, escencia de vainilla, galletas trozadas;Granizado 
